year,month,day,time,time zone,average wind speed(m/s)
2021,6,27,00:00,UTC,1.5
2021,6,27,01:00,UTC,3.5
2021,6,27,02:00,UTC,3.1
2021,6,27,03:00,UTC,1.8
2021,6,27,04:00,UTC,2.2
2021,6,27,05:00,UTC,2
2021,6,27,06:00,UTC,3.3
2021,6,27,07:00,UTC,2.7
2021,6,27,08:00,UTC,3
2021,6,27,09:00,UTC,3
2021,6,27,10:00,UTC,2.5
2021,6,27,11:00,UTC,2.7
2021,6,27,12:00,UTC,3.4
2021,6,27,13:00,UTC,4.3
2021,6,27,14:00,UTC,2
2021,6,27,15:00,UTC,5.1
2021,6,27,16:00,UTC,4.8
2021,6,27,17:00,UTC,4.3
2021,6,27,18:00,UTC,3
2021,6,27,19:00,UTC,2.8
2021,6,27,20:00,UTC,3
2021,6,27,21:00,UTC,4
2021,6,27,22:00,UTC,3.4
2021,6,27,23:00,UTC,2.8
